domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7587056350662044,0.6239222947447929,0.7385788047965303,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7643911299140035,0.6264143576786527,1.3071282895764424,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7643911299140035,0.6264143576786527,1.3071282895764424,1.4543977793545992
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,iu,baseline,none,none,,,0.7990093976022173,0.6187563333993488,0.0,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.8067013268167877,0.6300087269443331,0.7691929214570403,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.8086803448520928,0.6330852642586187,0.9670947249875494,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.8144916602430583,0.6421770308694327,1.548226264084096,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.817000967641415,0.6438762609902741,1.7991570039197713,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.8066029226050875,0.6298532661714403,0.7593525002870138,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.8085819406403927,0.6327352741320514,0.9572543038175341,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8137153603507563,0.6412230214513956,1.470596274853897,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,1000,241,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8137153603507563,0.6412230214513956,1.470596274853897,1.4984774681689683
semgrad,sciq,semgrad__sciq,1000,612,iu,baseline,none,none,,,0.7449590661006671,0.8005831090702236,0.0,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7466183208678661,0.8017439559329211,0.165925476719897,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7474647934775286,0.8021590630869331,0.25057273768614996,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7464203894616266,0.8003150298180782,0.1461323360959499,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7439694090694696,0.8010548741113294,-0.09896570311974662,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7466393774004447,0.8017302564247,0.1680311299777637,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7474437369449498,0.8020545474598825,0.24846708442827214,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7465846304157402,0.800204088031787,0.16255643150731025,0.20466949666465561
semgrad,sciq,semgrad__sciq,1000,612,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7465846304157402,0.800204088031787,0.16255643150731025,0.20466949666465561
