source,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,independent,80,upcr,anchored_pcr2,40,-0.0001946937232444823,-6.95712396467929e-05,-0.00042794701636564736,2.0721183134617904e-05,16,23,0
synthetic,grouped,80,upcr,anchored_pcr2,40,0.0033885008260591707,0.0038442557426515145,0.0011655537302923352,0.005659084111750383,29,11,0
synthetic,sparse_pairs,80,upcr,anchored_pcr2,40,0.004155124627511675,0.004493121391148658,0.003156841519406429,0.005162870950753402,38,2,0
synthetic,correlated_weak_block,80,upcr,anchored_pcr2,40,0.4394491399638857,0.43908673106032653,0.4318646565741032,0.44657263702842676,40,0,0
real,all,80,upcr,anchored_pcr6,24,-0.0009108101551571814,-0.0031613402776832222,-0.006098692622738955,0.004795491064351039,9,15,0
real,QA,80,upcr,anchored_pcr6,9,-0.005648119870119002,-0.0063739684534828145,-0.01310930936123154,0.0019068206973993887,2,7,0
real,math,80,upcr,anchored_pcr6,15,0.0019315756738199112,-0.0021515015688031713,-0.004856907508926957,0.00914330794764029,7,8,0
synthetic,independent,80,upcr,anchored_pcr6,40,-0.0024626901398142054,-0.00201599186211765,-0.0033236873565777652,-0.0017296188976085468,5,35,0
synthetic,grouped,80,upcr,anchored_pcr6,40,0.00018651615646732566,0.0023449314090551177,-0.0035880357361910997,0.0037997263560274547,24,16,0
synthetic,sparse_pairs,80,upcr,anchored_pcr6,40,0.01416598696451019,0.01487874715137899,0.012177395909661364,0.016045916005928876,39,1,0
synthetic,correlated_weak_block,80,upcr,anchored_pcr6,40,0.4432421464375699,0.4435270673038066,0.43719467877295093,0.4494821883640905,40,0,0
real,all,80,gold_ridge_all,anchored_pcr6,24,0.03573046778126398,0.03326917939638285,0.025973990347141578,0.047231559155720165,24,0,0
real,QA,80,gold_ridge_all,anchored_pcr6,9,0.045847640732269795,0.04221181872889823,0.0253549318740772,0.0701159335937712,9,0,0
real,math,80,gold_ridge_all,anchored_pcr6,15,0.029660164010660496,0.03204656105895909,0.021147209443742574,0.0385559851460672,15,0,0
synthetic,independent,80,gold_ridge_all,anchored_pcr6,40,0.01189475558783576,0.011100907519446923,0.010246694465701646,0.013713234100970292,40,0,0
synthetic,grouped,80,gold_ridge_all,anchored_pcr6,40,0.027983680939816402,0.027800820696472883,0.022841777780088397,0.033172133357345764,39,1,0
synthetic,sparse_pairs,80,gold_ridge_all,anchored_pcr6,40,0.012953574433488269,0.01066788901947352,0.00948679659511733,0.01683018798745694,36,4,0
synthetic,correlated_weak_block,80,gold_ridge_all,anchored_pcr6,40,-0.006796555585358422,-0.004970225234492698,-0.00822922528351109,-0.0054230633626078766,0,40,0
real,all,80,anchored_pcr6,pseudo_gold_pcr6,24,-0.01770604954541566,-0.013835392896483167,-0.0234237737384098,-0.012911897869213484,1,23,1
real,QA,80,anchored_pcr6,pseudo_gold_pcr6,9,-0.023123306353714252,-0.0165618448637318,-0.03595346335394837,-0.012757343542617346,0,9,1
real,math,80,anchored_pcr6,pseudo_gold_pcr6,15,-0.014455695460436502,-0.01195883769762851,-0.01853778817037999,-0.010446381284152482,1,14,0
synthetic,independent,80,anchored_pcr6,pseudo_gold_pcr6,40,-0.0021307249314059472,-0.001624998957314605,-0.002866595751359377,-0.0014966314787115498,3,37,0
synthetic,grouped,80,anchored_pcr6,pseudo_gold_pcr6,40,-0.008727113487181096,-0.007643709248668695,-0.011116526919552167,-0.006572306160365804,3,37,0
synthetic,sparse_pairs,80,anchored_pcr6,pseudo_gold_pcr6,40,-0.00115091486822739,-0.00020068512247062298,-0.0022994941886026353,-0.00018148202677584145,19,21,0
synthetic,correlated_weak_block,80,anchored_pcr6,pseudo_gold_pcr6,40,0.006037873761848828,0.0047184551730918844,0.004889189982031509,0.0072674472592977445,40,0,0
real,all,80,gold_pcr6,anchored_pcr6,24,0.03235580423087572,0.023057842937308948,0.02201356613223894,0.04758095970529323,24,0,0
real,QA,80,gold_pcr6,anchored_pcr6,9,0.04462440918470181,0.024281291938135552,0.02039388016019736,0.08079271233303749,9,0,0
real,math,80,gold_pcr6,anchored_pcr6,15,0.024994641258580072,0.021725367632327575,0.019237519655830534,0.031162659557508427,15,0,0
synthetic,independent,80,gold_pcr6,anchored_pcr6,40,0.0026389884343665402,0.001917445654301797,0.0019558145477536182,0.0034781083579358903,39,1,0
synthetic,grouped,80,gold_pcr6,anchored_pcr6,40,0.01292845554894224,0.01177765681127163,0.00968294115113894,0.01653947744210144,39,1,0
synthetic,sparse_pairs,80,gold_pcr6,anchored_pcr6,40,0.006202183600095878,0.0049710910330064695,0.0046913325915335004,0.00777477455579631,36,4,0
synthetic,correlated_weak_block,80,gold_pcr6,anchored_pcr6,40,-0.006682861753408945,-0.004874562062062049,-0.008135360598110306,-0.005332807596339877,0,40,0
