source,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
synthetic,independent,40,pseudo_gold_pcr6,40,0.9772709701407074,0.9745431979474082,0.9797538511172397
synthetic,independent,80,upcr,40,0.9857335273194694,0.9846830964912759,0.9867919640481304
synthetic,independent,80,platt_upcr,40,0.9857335273194694,0.9846720918006608,0.98681261276958
synthetic,independent,80,gold_pcr2,40,0.9851481986182833,0.9839945049068903,0.9862978245991059
synthetic,independent,80,gold_pcr6,40,0.9806318487452887,0.9785736515311267,0.9825123504966093
synthetic,independent,80,gold_ridge_all,40,0.9713760815918195,0.9686476591259096,0.9739746381527478
synthetic,independent,80,anchored_pcr2,40,0.985538833596225,0.9844463871955551,0.986638153775999
synthetic,independent,80,anchored_pcr6,40,0.9832708371796552,0.9818264105392157,0.9846797512607462
synthetic,independent,80,pseudo_gold_pcr6,40,0.9811401122482494,0.9791909845554672,0.9829403289043448
synthetic,grouped,0,upcr,40,0.8244076661027229,0.8203421724640446,0.8284188427112713
synthetic,grouped,0,platt_upcr,40,0.8244076661027229,0.8203687340949236,0.8284656534438938
synthetic,grouped,0,anchored_pcr2,40,0.8244076661027229,0.8202946818747798,0.828494519466411
synthetic,grouped,0,anchored_pcr6,40,0.8244076661027229,0.820345621498351,0.8284898224081779
synthetic,grouped,0,pseudo_gold_pcr6,40,0.8244076661027229,0.8203537329503934,0.8284318703333033
synthetic,grouped,5,upcr,40,0.8244076661027229,0.8203435643934753,0.8284333131927853
synthetic,grouped,5,platt_upcr,40,0.8244076661027229,0.8204308595215123,0.8284619452198282
synthetic,grouped,5,gold_pcr2,40,0.6958181994898244,0.6447961470581399,0.7423651293697778
synthetic,grouped,5,gold_pcr6,40,0.6403305575113925,0.6115565641730958,0.6671631180924933
synthetic,grouped,5,gold_ridge_all,40,0.6902980995072435,0.649200405390655,0.7266154409105947
synthetic,grouped,5,anchored_pcr2,40,0.8247801532747516,0.8205264919697779,0.8287710881678821
synthetic,grouped,5,anchored_pcr6,40,0.8237288666426352,0.8185936964634881,0.8287829361366531
synthetic,grouped,5,pseudo_gold_pcr6,40,0.7905206368303663,0.7778048002824755,0.8017359189213813
synthetic,grouped,10,upcr,40,0.8244076661027229,0.8203244540455092,0.8284245536933893
synthetic,grouped,10,platt_upcr,40,0.8244076661027229,0.82031731251558,0.828426512234781
synthetic,grouped,10,gold_pcr2,40,0.8013333991517129,0.7896860777007325,0.8114736593682998
synthetic,grouped,10,gold_pcr6,40,0.7345112794718802,0.7212311098438944,0.7474653966336084
synthetic,grouped,10,gold_ridge_all,40,0.7777729109296757,0.7668599094855076,0.7881379199853128
synthetic,grouped,10,anchored_pcr2,40,0.8248696828533244,0.8206190007059383,0.8288376567852735
synthetic,grouped,10,anchored_pcr6,40,0.8235500132630538,0.8194220203691862,0.8277449025749966
synthetic,grouped,10,pseudo_gold_pcr6,40,0.8004275299342372,0.7948230313939506,0.805941629675149
synthetic,grouped,20,upcr,40,0.8244076661027229,0.8203983176005355,0.828466458041835
synthetic,grouped,20,platt_upcr,40,0.8244076661027229,0.820288611370204,0.8283264239576646
synthetic,grouped,20,gold_pcr2,40,0.8159464117067488,0.8077910810655996,0.8234159341961715
synthetic,grouped,20,gold_pcr6,40,0.7711368110251604,0.7574370386870362,0.7840956222612145
synthetic,grouped,20,gold_ridge_all,40,0.7801851380069987,0.7664585664732511,0.7930257112913675
synthetic,grouped,20,anchored_pcr2,40,0.8280546760939416,0.8234940609458875,0.8324357257114796
synthetic,grouped,20,anchored_pcr6,40,0.8251168617225337,0.8191736087636271,0.8309946768487484
synthetic,grouped,20,pseudo_gold_pcr6,40,0.8038333085269868,0.7949641025610202,0.812342206353772
synthetic,grouped,40,upcr,40,0.8244076661027229,0.8203050222120393,0.8284211288821847
synthetic,grouped,40,platt_upcr,40,0.8244076661027229,0.8203299160856223,0.8283609372967369
synthetic,grouped,40,gold_pcr2,40,0.8225109538263384,0.8161669786517408,0.8285509369911402
synthetic,grouped,40,gold_pcr6,40,0.8017188221924091,0.7913179502709247,0.8112015761643749
synthetic,grouped,40,gold_ridge_all,40,0.7927292900615057,0.7840746935433996,0.8007508816451979
synthetic,grouped,40,anchored_pcr2,40,0.8286609470691424,0.8244891634920767,0.8326449181620363
synthetic,grouped,40,anchored_pcr6,40,0.8267590883864055,0.8221689928029605,0.8311483359834779
