domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
qa,spectral_phase9_cache_webq_cot_traces_T1.0,14,120,0.6331,0.5871,0.5985,0.6136,0.6233,0.6305
qa,spectral_phase9_cache_webq_cot_traces_T1.0,15,16,0.6312,0.5971,0.6041,0.6158,0.625,0.6299
qa,spectral_phase9_cache_webq_cot_traces_T1.0,16,1,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212
rag,Llama-8B/2wikimultihopqa,3,364,0.7162,0.4179,0.4904,0.5351,0.5643,0.6003
rag,Llama-8B/2wikimultihopqa,4,1001,0.6649,0.427,0.4973,0.5346,0.5622,0.5951
rag,Llama-8B/2wikimultihopqa,5,2002,0.7184,0.4432,0.5059,0.5346,0.56,0.5897
rag,Llama-8B/2wikimultihopqa,6,3003,0.6935,0.4552,0.513,0.5368,0.5589,0.5848
rag,Llama-8B/2wikimultihopqa,7,3432,0.6714,0.48,0.5168,0.5384,0.5562,0.5811
rag,Llama-8B/2wikimultihopqa,8,3003,0.6411,0.4941,0.5211,0.5389,0.5551,0.5773
rag,Llama-8B/2wikimultihopqa,9,2002,0.6303,0.5011,0.5245,0.54,0.5535,0.5719
rag,Llama-8B/2wikimultihopqa,10,1001,0.5854,0.5043,0.5276,0.54,0.5519,0.5676
rag,Llama-8B/2wikimultihopqa,11,364,0.5768,0.511,0.5286,0.5422,0.5504,0.561
rag,Llama-8B/2wikimultihopqa,12,91,0.5643,0.5184,0.5305,0.5411,0.5486,0.5559
rag,Llama-8B/2wikimultihopqa,13,14,0.5568,0.5327,0.5407,0.5432,0.5477,0.5554
rag,Llama-8B/2wikimultihopqa,14,1,0.5405,0.5405,0.5405,0.5405,0.5405,0.5405
rag,Llama-8B/hotpotqa,3,364,0.8707,0.4943,0.6017,0.6805,0.7609,0.83
rag,Llama-8B/hotpotqa,4,1001,0.8847,0.5048,0.5873,0.681,0.7753,0.8389
rag,Llama-8B/hotpotqa,5,2002,0.8815,0.5145,0.5997,0.6913,0.7746,0.8367
rag,Llama-8B/hotpotqa,6,3003,0.8847,0.5269,0.614,0.6967,0.7705,0.8362
rag,Llama-8B/hotpotqa,7,3432,0.8798,0.5366,0.6261,0.7058,0.7678,0.8324
rag,Llama-8B/hotpotqa,8,3003,0.868,0.5409,0.6336,0.7139,0.764,0.8222
rag,Llama-8B/hotpotqa,9,2002,0.8626,0.548,0.6492,0.719,0.7629,0.813
rag,Llama-8B/hotpotqa,10,1001,0.8502,0.5614,0.6692,0.7231,0.7602,0.8006
rag,Llama-8B/hotpotqa,11,364,0.8141,0.5928,0.6884,0.7263,0.7586,0.7909
rag,Llama-8B/hotpotqa,12,91,0.7936,0.6433,0.7007,0.736,0.7573,0.7786
rag,Llama-8B/hotpotqa,13,14,0.7656,0.686,0.7249,0.7357,0.7482,0.7579
rag,Llama-8B/hotpotqa,14,1,0.7306,0.7306,0.7306,0.7306,0.7306,0.7306
rag,Llama-8B/narrativeqa,3,364,0.643,0.435,0.5042,0.5451,0.5822,0.6178
rag,Llama-8B/narrativeqa,4,1001,0.6513,0.4538,0.503,0.5388,0.5807,0.6189
rag,Llama-8B/narrativeqa,5,2002,0.6491,0.4654,0.5031,0.5349,0.5711,0.6167
rag,Llama-8B/narrativeqa,6,3003,0.6416,0.4709,0.5044,0.535,0.5667,0.6127
rag,Llama-8B/narrativeqa,7,3432,0.6383,0.4732,0.505,0.533,0.5609,0.6081
rag,Llama-8B/narrativeqa,8,3003,0.6426,0.4765,0.5047,0.5302,0.555,0.606
rag,Llama-8B/narrativeqa,9,2002,0.644,0.4783,0.5042,0.5283,0.5501,0.6037
rag,Llama-8B/narrativeqa,10,1001,0.6409,0.4805,0.5035,0.5243,0.5454,0.5884
rag,Llama-8B/narrativeqa,11,364,0.6092,0.4853,0.5045,0.5222,0.5418,0.5619
rag,Llama-8B/narrativeqa,12,91,0.5691,0.4857,0.5059,0.5201,0.5391,0.5538
rag,Llama-8B/narrativeqa,13,14,0.5499,0.5001,0.5049,0.5283,0.5403,0.5471
rag,Llama-8B/narrativeqa,14,1,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343
rag,Llama-8B/natural-questions,3,364,0.6936,0.3772,0.4646,0.5454,0.6007,0.6681
rag,Llama-8B/natural-questions,4,1001,0.7035,0.3761,0.4834,0.5642,0.6139,0.667
rag,Llama-8B/natural-questions,5,2002,0.7013,0.3861,0.51,0.5841,0.6228,0.6681
rag,Llama-8B/natural-questions,6,3003,0.7058,0.3862,0.5454,0.5985,0.6294,0.6715
rag,Llama-8B/natural-questions,7,3432,0.7046,0.4077,0.5741,0.6095,0.6361,0.6726
rag,Llama-8B/natural-questions,8,3003,0.7146,0.4347,0.5907,0.6173,0.6416,0.6737
rag,Llama-8B/natural-questions,9,2002,0.7091,0.5277,0.604,0.6239,0.6427,0.6758
rag,Llama-8B/natural-questions,10,1001,0.698,0.5819,0.6139,0.6283,0.6449,0.677
rag,Llama-8B/natural-questions,11,364,0.7024,0.601,0.6206,0.635,0.6463,0.6801
rag,Llama-8B/natural-questions,12,91,0.6969,0.6189,0.6272,0.6372,0.6493,0.677
rag,Llama-8B/natural-questions,13,14,0.6869,0.6312,0.6341,0.6372,0.6435,0.6661
rag,Llama-8B/natural-questions,14,1,0.6372,0.6372,0.6372,0.6372,0.6372,0.6372
rag,Mistral-24B/2wikimultihopqa,3,560,0.7,0.35,0.3979,0.4375,0.4859,0.5752
rag,Mistral-24B/2wikimultihopqa,4,1820,0.7146,0.3542,0.4,0.4333,0.4771,0.5479
rag,Mistral-24B/2wikimultihopqa,5,4368,0.7417,0.3604,0.4,0.4313,0.4688,0.525
rag,Mistral-24B/2wikimultihopqa,6,8008,0.675,0.3646,0.4,0.4292,0.4625,0.5125
rag,Mistral-24B/2wikimultihopqa,7,11440,0.7083,0.3688,0.4021,0.4271,0.4563,0.5
rag,Mistral-24B/2wikimultihopqa,8,12870,0.6583,0.3729,0.4021,0.4271,0.4521,0.4917
rag,Mistral-24B/2wikimultihopqa,9,11440,0.5625,0.3771,0.4042,0.425,0.4479,0.4833
rag,Mistral-24B/2wikimultihopqa,10,8008,0.5417,0.3812,0.4062,0.425,0.4458,0.475
rag,Mistral-24B/2wikimultihopqa,11,4368,0.5188,0.3833,0.4062,0.4229,0.4437,0.4688
rag,Mistral-24B/2wikimultihopqa,12,1820,0.5,0.3875,0.4083,0.4229,0.4396,0.4625
rag,Mistral-24B/2wikimultihopqa,13,560,0.4896,0.3917,0.4083,0.424,0.4375,0.4583
rag,Mistral-24B/2wikimultihopqa,14,120,0.4583,0.4,0.4099,0.4229,0.4359,0.4522
rag,Mistral-24B/2wikimultihopqa,15,16,0.4458,0.412,0.4146,0.426,0.4318,0.4443
rag,Mistral-24B/2wikimultihopqa,16,1,0.4229,0.4229,0.4229,0.4229,0.4229,0.4229
rag,Mistral-24B/hotpotqa,3,560,0.7738,0.4861,0.5714,0.6111,0.6448,0.7005
rag,Mistral-24B/hotpotqa,4,1820,0.7381,0.5179,0.5853,0.6151,0.6391,0.6786
rag,Mistral-24B/hotpotqa,5,4368,0.748,0.5536,0.5952,0.6171,0.6409,0.6746
rag,Mistral-24B/hotpotqa,6,8008,0.748,0.5694,0.6012,0.621,0.6389,0.6706
rag,Mistral-24B/hotpotqa,7,11440,0.7341,0.5794,0.6052,0.623,0.6409,0.6667
rag,Mistral-24B/hotpotqa,8,12870,0.7202,0.5873,0.6091,0.625,0.6409,0.6627
rag,Mistral-24B/hotpotqa,9,11440,0.7183,0.5933,0.6131,0.627,0.6409,0.6607
