world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-A,g,direct_g,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,direct_g,0.01,8,0.8580902777777777,0.00539730720626439,0.0006597222222221866,0.00026919029850311284,0.0001497200419803968
P1-A,g,direct_g,0.03,8,0.8591203703703705,0.005402415466775075,0.001689814814814783,0.0006555269389124623,0.0004478675012910885
P1-A,g,direct_g,0.1,8,0.8613773148148148,0.005533493259082002,0.003946759259259219,0.001623542262714336,0.000870830823861221
P1-A,g,direct_g,0.3,8,0.8639853395061728,0.005859224770992746,0.006554783950617232,0.0028186232313687563,0.0012146806806563291
P1-A,g,direct_g,1.0,8,0.8653819444444444,0.006239411571836745,0.007951388888888827,0.003630279406330368,0.0010735391951564649
P1-A,g,g_to_a,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,g_to_a,0.01,8,0.8580902777777777,0.00539730720626439,0.0006597222222221866,0.00026919029850311284,0.0001497200419803968
P1-A,g,g_to_a,0.03,8,0.8591203703703705,0.005402415466775075,0.001689814814814783,0.0006555269389124623,0.0004478675012910885
P1-A,g,g_to_a,0.1,8,0.8613773148148148,0.005533493259082002,0.003946759259259219,0.001623542262714336,0.000870830823861221
P1-A,g,g_to_a,0.3,8,0.8639853395061728,0.005859224770992746,0.006554783950617232,0.0028186232313687563,0.0012146806806563291
P1-A,g,g_to_a,1.0,8,0.8653819444444444,0.006239411571836745,0.007951388888888827,0.003630279406330368,0.0010735391951564649
P1-A,g,iu,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,iu,0.01,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,iu,0.03,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,iu,0.1,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,iu,0.3,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,iu,1.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,mmdufs_shared,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,mmdufs_shared,0.01,8,0.858028549382716,0.005385674353713922,0.0005979938271604285,0.00022709973229569484,0.00016773553313133722
P1-A,g,mmdufs_shared,0.03,8,0.8590239197530865,0.005399942959387103,0.001593364197530825,0.0006308835224116715,0.00039810577366585095
P1-A,g,mmdufs_shared,0.1,8,0.8610185185185186,0.005447571458397548,0.0035879629629629595,0.0014419223966745396,0.0008561276400232722
P1-A,g,mmdufs_shared,0.3,8,0.8635802469135803,0.005792293321302339,0.00614969135802465,0.0025599996690357186,0.0012995707560320823
P1-A,g,mmdufs_shared,1.0,8,0.8652739197530864,0.006113494597976276,0.00784336419753083,0.0033896483492640793,0.0014214089562364501
P1-A,g,nuisance_only,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,nuisance_only,0.01,8,0.857434413580247,0.005377857693093442,3.858024691355544e-06,3.858024691355543e-06,-3.451306346795641e-06
P1-A,g,nuisance_only,0.03,8,0.8574614197530864,0.005384620296216484,3.086419753084435e-05,1.4287347218720158e-05,3.795695166764939e-06
P1-A,g,nuisance_only,0.1,8,0.8574922839506173,0.0053714369227664755,6.172839506170258e-05,3.869031916839444e-05,-1.1573455858841282e-05
P1-A,g,nuisance_only,0.3,8,0.8574845679012346,0.005378839943011551,5.401234567899149e-05,0.00011935850875058367,-0.00017212173133531255
P1-A,g,nuisance_only,1.0,8,0.8576157407407408,0.005406421514207261,0.00018518518518514937,0.0002690046077659011,-0.0003244651893587557
P1-A,g,oracle,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,oracle,0.01,8,0.8581751543209877,0.005387174435693247,0.0007445987654320779,0.0003170931526372316,0.00014384086262503944
P1-A,g,oracle,0.03,8,0.8594637345679013,0.005410451123365238,0.0020331790123456206,0.0007786809038660831,0.000557906831688792
