test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,-0.3617708849789125,-0.003612457686229536
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Size of biggest shift (vocabulary spread),cusum_max_energy,0.14849125943784836,0.2533706321782785
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Confidence in the chosen word,mean_top1_logprob,0.020346980612449883,0.19452312876450228
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Lead of first choice over second,logprob_margin,0.5217111881652986,0.17533497581825194
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Spread across candidate words,mean_logprob_entropy,0.07557560388504499,0.19549185514732526
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Variability of surprise,varentropy,1.0793071372770455,0.19335933009237083
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Concentration of candidate words,renyi_entropy_2,-0.09047881131465949,0.1948169330754826
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Probability outside the top few words,topk_tail_mass,-0.2434589353655852,0.18427187489208366
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Average uncertainty per token,epr,0.17841755000266135,0.1965061421546398
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Answer length,trace_length,-0.5464608350195271,-0.02879172689369142
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,How flat the uncertainty rhythm is,spectral_entropy,-0.21238829227596545,0.02879172689369142
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Slow drifts in uncertainty,low_band_power,-1.6113608205069556,0.19520956828546487
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Fast jitter in uncertainty,high_band_power,0.11470355112327678,-0.1784248490588988
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Jitter-to-drift ratio,hl_ratio,-0.23413335592551468,-0.20079739456116558
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Speed of the strongest rhythm,dominant_freq,-0.8146859939811049,-0.12740279395639673
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Average rhythm speed,spectral_centroid,-1.1519756733817477,-0.20641212902328765
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Strongest local burst of jitter,stft_max_high_power,0.07859297377582582,0.19905117633953712
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Local rhythm flatness,stft_spectral_entropy,0.33694977126197395,-0.073708296049952
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Late-answer uncertainty drift,rpdi,0.5424638175112816,0.09517311713569088
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Burstiest stretch of the answer,sw_var_peak,0.7294707958534911,0.16872657907510913
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Ordinal pattern complexity,pe_mean,-0.16221820137705187,-0.005242728262155845
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Self-similarity of the trace,hurst_exponent,0.07311486279857844,-0.16235481081142183
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Size of the biggest shift,cusum_max,-0.4975398024653975,0.2664549302809238
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Where the biggest shift happens,cusum_shift_idx,0.19248662778038128,-0.09559181368386394
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Average surprise per token,epr_spilled,0.9081186180880754,-0.19514324792412766
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Burstiest stretch (surprise),sw_var_peak_spilled,0.09031180446679946,-0.24229649192447317
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Size of biggest shift (surprise),cusum_max_spilled,-0.024746274308510615,-0.2646442602183451
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Most confident single token,min_spilled,-0.25650565681949783,-0.12408078926378918
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Average vocabulary spread,epr_energy,-0.01029893751186103,-0.17452961620777135
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Narrowest vocabulary moment,min_energy,0.7120265639967996,-0.2474048480622429
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,0.2916918093127307,0.188201343714747
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Size of biggest shift (vocabulary spread),cusum_max_energy,0.9042284144391847,0.2550903350407505
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Confidence in the chosen word,mean_top1_logprob,-0.2619015171893036,0.1953652755920327
GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,Lead of first choice over second,logprob_margin,1.4638090213020234,0.19905117633953712
