geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
contribution_union_k7,max_mean,canonical,full,True,0.46126267968211593,"[0.01886311218235086, 0.7878845625738293]",7,-0.9189690425520572
contribution_union_k7,max_mean,canonical,cross,False,0.4314736871843364,"[0.19267013533648403, 0.657055299146145]",7,-0.10870163764333807
contribution_union_k7,max_mean,v1,full,True,0.551221335233687,"[0.28572659008291496, 0.7861428341994795]",7,-0.19929979813948875
contribution_union_k7,max_mean,v1,cross,False,0.4314736871843364,"[0.19464814795405777, 0.6558876956044524]",7,-0.10870163764333807
contribution_union_k7,max_mean,expanded,full,True,0.46126267968211593,"[0.016062567947115768, 0.785976815260407]",7,-0.9189690425520572
contribution_union_k7,max_mean,expanded,cross,False,0.4314736871843364,"[0.19507036204867712, 0.6556167555029224]",7,-0.10870163764333807
dufs_union_k7,one_se,canonical,full,True,0.02396443192299169,"[-0.17682295751816074, 0.21060450049695248]",6,-0.5047987398507758
dufs_union_k7,one_se,canonical,cross,False,0.01031588694046917,"[-0.18754926068245414, 0.20095889855947072]",5,-0.5049979929775961
dufs_union_k7,one_se,v1,full,True,0.024418572708815506,"[-0.07293944756113131, 0.12037379948792244]",5,-0.24057097976023512
dufs_union_k7,one_se,v1,cross,False,0.02391900451846983,"[-0.07352090882283492, 0.11983705548558575]",5,-0.24058909368084302
dufs_union_k7,one_se,expanded,full,True,0.024418572708815506,"[-0.07293944756113131, 0.12058835065439188]",5,-0.24057097976023512
dufs_union_k7,one_se,expanded,cross,False,0.02391900451846983,"[-0.0724695900800168, 0.11973099475667817]",5,-0.24058909368084302
dufs_union_k7,max_mean,canonical,full,True,-0.016764600064150162,"[-0.3495233554806909, 0.23352743080819002]",6,-1.0375653731395262
dufs_union_k7,max_mean,canonical,cross,False,0.01031588694046917,"[-0.1874543193875007, 0.20125989933182054]",5,-0.5049979929775961
dufs_union_k7,max_mean,v1,full,True,-0.06334659263475789,"[-0.36515432789306745, 0.14571909147735457]",6,-1.0375653731395262
dufs_union_k7,max_mean,v1,cross,False,-0.034389515578916126,"[-0.2042556255792511, 0.10952825798737553]",5,-0.5049979929775961
dufs_union_k7,max_mean,expanded,full,True,-0.06334659263475789,"[-0.36945184667300623, 0.14569596765041798]",6,-1.0375653731395262
dufs_union_k7,max_mean,expanded,cross,False,-0.034389515578916126,"[-0.2042556255792511, 0.10885194869051983]",5,-0.5049979929775961
residual_cosine_union_k7,one_se,canonical,full,True,-0.08750075239744959,"[-0.2743939751591931, 0.08613882698520352]",3,-0.5767265984329195
residual_cosine_union_k7,one_se,canonical,cross,False,-0.09364318377949567,"[-0.28468230962872076, 0.08618964718137768]",3,-0.5811735849003963
residual_cosine_union_k7,one_se,v1,full,True,-0.012156746699466862,"[-0.11085330015764548, 0.08185602534299008]",4,-0.27215557180834127
residual_cosine_union_k7,one_se,v1,cross,False,-0.011144235660607243,"[-0.11223133472447046, 0.0845922450533762]",4,-0.2742699880155075
residual_cosine_union_k7,one_se,expanded,full,True,-0.012156746699466862,"[-0.11129773045434598, 0.08153145656649625]",4,-0.27215557180834127
residual_cosine_union_k7,one_se,expanded,cross,False,-0.011144235660607243,"[-0.11228342242812116, 0.08513761529387312]",4,-0.2742699880155075
