domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_llama,math,llama31_8b__math,node_permuted_07,0.7844620258413362,0.6967052446716447,-0.19820537061916443,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_08,0.7843956809474051,0.6933034283163132,-0.2048398600122736,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_09,0.7824509462440496,0.6897051951260551,-0.3993133303478169,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_10,0.7826043688112653,0.6916035126016468,-0.3839710736262547,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_11,0.7804854787613409,0.6870498701963162,-0.595860078618693,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_12,0.784951319434078,0.6954049643572073,-0.1492760113449787,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_13,0.7857640443847341,0.6972597338211748,-0.06800351627936907,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_14,0.7866016486706142,0.7008658253020157,0.015756912308639848,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_15,0.7851088885571644,0.695911687864334,-0.13351909903633885,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_16,0.7851462075600006,0.6963698552498773,-0.12978719875271771,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_17,0.7805932892139789,0.6873835059586799,-0.5850790333548961,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_18,0.7843500688328274,0.6917786341892697,-0.20940107147003895,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_19,0.7861372344130965,0.6951571357700019,-0.030684513443135497,0.7248179661972665
processbench_llama,olympiadbench,llama31_8b__olympiadbench,iu,0.7513198470182391,0.6155091914169705,0.0,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,primary_one_se,0.7573266571164634,0.6224780310795692,0.6006810098224347,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,max_mean_sensitivity,0.764386667202192,0.6305931145669433,1.3066820183952887,1.4543977793545992
