cell,feature,n_all,n_defect_free,population,pos_all,pos_defect_free,nonmono_gain_all,nonmono_gain_defect_free,folded_gain_all,folded_gain_defect_free
spilled_triviaqa_llama8b,epr,256,256,all rows (no known defect),0.0234,0.0234,-0.044,-0.044,-0.044,-0.044
spilled_triviaqa_llama8b,trace_length,256,256,all rows (no known defect),0.0234,0.0234,-0.0353,-0.0353,-0.0353,-0.0353
spilled_triviaqa_llama8b,spectral_entropy,256,256,all rows (no known defect),0.0234,0.0234,-0.1027,-0.1027,-0.0667,-0.0667
spilled_triviaqa_llama8b,low_band_power,256,256,all rows (no known defect),0.0234,0.0234,-0.0933,-0.0933,-0.0253,-0.0253
spilled_triviaqa_llama8b,high_band_power,256,256,all rows (no known defect),0.0234,0.0234,0.0393,0.0393,0.0633,0.0633
spilled_triviaqa_llama8b,hl_ratio,256,256,all rows (no known defect),0.0234,0.0234,-0.1327,-0.1327,-0.1327,-0.1327
spilled_triviaqa_llama8b,dominant_freq,256,256,all rows (no known defect),0.0234,0.0234,-0.0027,-0.0027,0.0293,0.0293
spilled_triviaqa_llama8b,spectral_centroid,256,256,all rows (no known defect),0.0234,0.0234,-0.0327,-0.0327,-0.0087,-0.0087
spilled_triviaqa_llama8b,rpdi,256,256,all rows (no known defect),0.0234,0.0234,0.0833,0.0833,0.0833,0.0833
spilled_triviaqa_llama8b,sw_var_peak,256,256,all rows (no known defect),0.0234,0.0234,-0.0407,-0.0407,-0.0407,-0.0407
