file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.relres_exh_adapt,0.7507070135746606,0.7507070302963257,-1.6721665052621404e-08,2,2,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.relres_greedy,0.7507070135746606,0.7507070302963257,-1.6721665052621404e-08,2,2,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.upcrres_greedy,0.4597810277957337,0.4597810208797455,6.915988226552372e-09,2,2,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.router@good5,0.7500404007756949,0.7500404119491577,-1.117346282164533e-08,3,3,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.router@minres,0.7507070135746606,0.7507070302963257,-1.6721665052621404e-08,2,2,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.good5+K_ah,0.7500404007756949,0.7426874595992243,0.007352941176470562,3,4,16,16,True
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.good5+K_kn,0.7500404007756949,0.7426874595992243,0.007352941176470562,3,4,16,16,True
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.minres+K_ah,0.7507070135746606,0.7464245313510021,0.004282482223658568,2,1,16,16,True
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.minres_exh_s4,0.6520732802154641,0.6520732641220093,1.609345479103297e-08,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.minres_exh_s5,0.6775754685220514,0.6775754690170288,-4.949773924067813e-10,4,4,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.minres_exh_s6,0.6606301200763102,0.6606301069259644,1.3150345812285025e-08,3,3,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.minres_exh_adapt,0.6303866008304344,0.6303865909576416,9.872792805509789e-09,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.relres_exh_s4,0.6520732802154641,0.6520732641220093,1.609345479103297e-08,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.relres_exh_s5,0.6513298170800135,0.6513298153877258,1.6922876433511647e-09,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.relres_exh_s6,0.6606301200763102,0.6606301069259644,1.3150345812285025e-08,3,3,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.relres_exh_adapt,0.6303866008304344,0.6303865909576416,9.872792805509789e-09,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.relres_greedy,0.6303866008304344,0.6303865909576416,9.872792805509789e-09,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.upcrres_greedy,0.675302996296712,0.6753029823303223,1.396638971140618e-08,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.router@good5,0.7072999663337448,0.7072999477386475,1.8595097350804224e-08,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.router@minres,0.6303866008304344,0.6303865909576416,9.872792805509789e-09,2,2,14,14,False
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.good5+K_ah,0.7072999663337448,0.6934827740994277,0.0138171922343171,2,3,14,14,True
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.good5+K_kn,0.7072999663337448,0.6955728874424868,0.011727078891258014,2,4,14,14,True
a1_residual__h16.csv,epr_triviaqa_mistral24b,a1.minres+K_ah,0.6303866008304344,0.6185753563012009,0.011811244529233544,2,1,14,14,True
a1_residual__h16.csv,inside_coqa_llama7b,a1.minres_exh_s4,0.4881910227396041,0.48819100856781006,1.4171794016082373e-08,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.minres_exh_s5,0.4501832976593573,0.45018330216407776,-4.504720485520863e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.minres_exh_s6,0.4480534747920504,0.4480534791946411,-4.402590736418688e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.minres_exh_adapt,0.5710803317129327,0.5710803270339966,4.678936127433531e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.relres_exh_s4,0.4881910227396041,0.48819100856781006,1.4171794016082373e-08,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.relres_exh_s5,0.4501832976593573,0.45018330216407776,-4.504720485520863e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.relres_exh_s6,0.43517388507684973,0.435173898935318,-1.3858468261851442e-08,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.relres_exh_adapt,0.5710803317129327,0.5710803270339966,4.678936127433531e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.relres_greedy,0.5710803317129327,0.5710803270339966,4.678936127433531e-09,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.upcrres_greedy,0.6357692289545821,0.635769248008728,-1.905414592773269e-08,2,2,15,15,False
a1_residual__h16.csv,inside_coqa_llama7b,a1.good5+K_ah,0.6840627757131781,0.5959497586698771,0.08811301704330099,2,4,15,15,True
a1_residual__h16.csv,inside_coqa_llama7b,a1.good5+K_kn,0.6840627757131781,0.5959497586698771,0.08811301704330099,2,4,15,15,True
