split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,epr_risk,0.5598419707181037,0.7051372177284188
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,mean_confidence_risk,0.5779688589356263,0.7122699647443616
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,iu_pcr_risk,0.5711578683923559,0.706951839597805
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,shared_direction,0.5748046979745794,0.7087703880114671
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,balanced_logistic,0.5741075099662132,0.7125395442502636
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,ppca_manifold_k4,0.5470065607179249,0.6925745651083118
cell,losnet_hotpotqa_mistral7b,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,knn_manifold_k5,0.5741075099662132,0.7117986044072293
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,epr_risk,0.7388629372222856,0.5963797977026443
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,mean_confidence_risk,0.7305457445596446,0.581418731085158
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,iu_pcr_risk,0.7415973567278114,0.599244206489901
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,shared_direction,0.7329383616269796,0.5916449774195849
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,balanced_logistic,0.7504842201207702,0.5862710921951005
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,ppca_manifold_k4,0.6911245300216474,0.5368640928366949
cell,sciq_llama8b,sciq_llama8b,sciq,QA,198,0.3383838383838384,knn_manifold_k5,0.7359006494246326,0.5563952557972467
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,epr_risk,0.7416001599796389,0.728040371197592
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,mean_confidence_risk,0.7492639118657625,0.7304301230335833
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,iu_pcr_risk,0.7434733201788304,0.725082593170882
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,shared_direction,0.752284730195178,0.7350043760578892
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,balanced_logistic,0.7449894349110813,0.7239566370170103
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,ppca_manifold_k4,0.7217054053260356,0.7033312283198294
cell,se_nq_open_llama8b,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,knn_manifold_k5,0.7520656252141336,0.7332824769085742
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,epr_risk,0.7463668578947975,0.8789018632333941
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,mean_confidence_risk,0.7923048953631987,0.896513549031901
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,iu_pcr_risk,0.8107384022254799,0.9021330101581544
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,shared_direction,0.7889574411598352,0.8955603425832094
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,balanced_logistic,0.8097866863666271,0.9045736158097746
