candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
entropy__mean__organic_all_p1,0.7739324837714768,0.7566910166615531,0.7646486168661333,0.6242754289789402,4.923076923076923,1
target_nll__q90__organic_top8_p1,0.7738743901462467,0.7578094894427999,0.7652240589982369,0.6295249784338127,5.0,0
entropy__cvar80__spread8_p1,0.7737455330669644,0.7614806970359115,0.7671413905887051,0.6279394172162036,4.923076923076923,1
entropy__std__organic_all_p1,0.7737451235335536,0.7597408208852955,0.7662043451844915,0.6287367961660847,5.0,0
target_nll__std__organic_all_p1,0.7737386486593536,0.7627267109869937,0.7678091437588521,0.6290681625502916,5.0,0
entropy__mean__flat_top8_p1,0.7737267644858367,0.7531783137883572,0.7626622141102708,0.6189983544410823,4.846153846153846,2
entropy_excess_over_top1__cvar80__organic_all_p1,0.7737253806792523,0.7595542087253542,0.7660947496271534,0.6281746138610361,5.0,0
top1_surprisal__mean__flat_top8_p1,0.7737078098658913,0.7531536021304264,0.7626401595467948,0.6199361878052747,4.846153846153846,2
target_gap__mean__flat_top5_p1,0.7737001730547437,0.7574877769742331,0.7649704213190842,0.6292730315812124,5.0,0
kl_to_final__max__flat_top8_p1,0.7736681604809129,0.7635629490157678,0.768226892768912,0.6260146809075645,4.538461538461538,6
entropy__mean__spread4_p1,0.7735726119663924,0.7573998044218139,0.7648641771346962,0.6253279347921962,4.923076923076923,1
target_excess_over_entropy__max__flat_top8_p1,0.7735601497312881,0.7623393305913388,0.7675181701943923,0.6288262803681225,4.846153846153846,2
top1_surprisal__q90__organic_all_p1,0.7735468552410572,0.7522636734354775,0.7620866804226681,0.6253359809614986,5.0,0
target_excess_over_entropy__q90__flat_top5_p1,0.7734788030167925,0.760224334881931,0.7663417817134057,0.6305160902119505,4.769230769230769,3
kl_to_final__q90__spread4_p1,0.7734718386774855,0.7574591001917408,0.7648495948774691,0.6270342766252531,4.923076923076923,1
top1_surprisal__cvar80__flat_top8_p1,0.7734646609512117,0.7534656323195387,0.7626959532264647,0.6187034347013385,4.846153846153846,2
target_gap__cvar80__spread8_p1,0.773351279324035,0.7596268997097145,0.765961228762478,0.6270085070977647,5.0,0
top1_surprisal__std__spread8_p1,0.773280038752577,0.7626923118809968,0.7675789550524954,0.6297696115525822,4.923076923076923,1
entropy_excess_over_top1__q90__organic_all_p1,0.7732586328374,0.7592384696915995,0.7657093142204305,0.6282244143314262,5.0,0
target_excess_over_entropy__q90__flat_top8_p1,0.7732447519856969,0.7568687408031388,0.7644268998104734,0.6289377150753226,4.846153846153846,2
target_gap__q90__flat_top3_p2,0.7732259553640596,0.7601682256875372,0.7661948701536244,0.6301789633405943,5.0,0
target_gap__cvar80__flat_top5_p1,0.773211668079565,0.7621717254493425,0.7672670835863683,0.6312549056575331,5.0,0
top1_surprisal__std__organic_top8_p1,0.7731848966103404,0.7534854782690081,0.7625775175034691,0.623099922462375,5.0,0
