method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,stft_max_high_power,-0.026647985777110503,-0.03930483823744985,0.00016019591420279825
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,stft_spectral_entropy,0.008293519008956187,0.017460897407883248,8.404082670911447e-05
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,rpdi,-0.12974196539844715,-0.019412915528833494,0.012172499245131698
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,sw_var_peak,-0.013858186748818198,-0.09196499714173555,0.006100673829755141
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,pe_mean,0.12802492381522818,0.009899182848940511,0.013953690678834493
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,hurst_exponent,0.38304887873398735,0.2599041766486566,0.01516461765168486
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,cusum_max,0.271573923334316,-0.006893145103352366,0.07754390820426908
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,cusum_shift_idx,-0.08935050664224774,-0.02719524574218849,0.0038632764575544337
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,epr_spilled,-0.30868667660019544,-0.2587826024747663,0.0024904166143163253
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,sw_var_peak_spilled,-0.04033821200037022,-0.05005746127874185,9.446380653512732e-05
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,cusum_max_spilled,0.26744392802646216,-0.06359424732114324,0.10958627353747193
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,min_spilled,0.13649323011988118,0.0020397750751443883,0.018077731573467058
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,epr_energy,-0.3066545791695216,-0.12290096668416899,0.03376539010141713
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,min_energy,-0.007843984410370824,-0.037353378117202525,0.0008708043169447983
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,sw_var_peak_energy,-0.043317592972308326,0.018076835384925986,0.0037692758333115767
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,cusum_max_energy,0.227581402164948,0.024218655753829466,0.0413564066278729
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,mean_top1_logprob,-0.30868667660019544,-0.28483245349415437,0.0005690239599927838
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,logprob_margin,-0.29586631892509896,-0.19141033775311625,0.010911052002601606
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,mean_logprob_entropy,-0.31372824538303046,-0.2998733934861909,0.00019195692108335845
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,varentropy,-0.2825245102193103,-0.2449960285498284,0.0014083869364166382
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,renyi_entropy_2,-0.3133499304379392,-0.29429327346278367,0.0003631561750687434
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,topk_tail_mass,-0.2030241532581347,-0.2205520434073379,0.00030722693308253443
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,epr,-0.6953821559277543,-0.5245142806124744,0.029195830814758045
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,trace_length,0.28717376033832887,0.0410119769193243,0.06059562361602491
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,spectral_entropy,0.13032390732116803,-0.04731554585612241,0.03155577532512676
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,low_band_power,0.8342366485736687,0.773724062418529,0.0036617730831832135
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,high_band_power,0.5817518918378792,0.6879323797553353,0.01127429601438903
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,hl_ratio,0.8472270916541541,0.601223552608107,0.06051774122318002
missing_pca_full,ars_gsm8k_r1distill8b,spectral_centroid,dominant_freq,0.20731400466414174,0.3694303115511728,0.02628169695869003
