method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
top5__errors__hard__continuous_lsml,error_relative_quarter_2,1290,0.021705426356589147,0.1992248062015504,2.188372093023256
top5__errors__hard__continuous_lsml,error_relative_quarter_3,1122,0.00980392156862745,0.18449197860962566,3.698752228163993
top5__errors__hard__continuous_lsml,error_relative_quarter_4,716,0.015363128491620111,0.23184357541899442,5.783519553072626
ct7,steps_2_to_5,1312,0.4763719512195122,0.5503048780487805,0.791920731707317
ct7,steps_6_to_10,2308,0.3587521663778163,0.408578856152513,1.60051993067591
ct7,steps_11_plus,822,0.29927007299270075,0.29927007299270075,3.5291970802919708
ct7,error_relative_quarter_1,1314,0.3774733637747336,0.4079147640791476,2.0593607305936072
ct7,error_relative_quarter_2,1290,0.386046511627907,0.42868217054263563,1.4054263565891474
ct7,error_relative_quarter_3,1122,0.38324420677361853,0.43493761140819964,1.3556149732620322
ct7,error_relative_quarter_4,716,0.3840782122905028,0.4664804469273743,2.2262569832402233
token_lsml,steps_2_to_5,1312,0.4321646341463415,0.5083841463414634,0.8719512195121951
token_lsml,steps_6_to_10,2308,0.31802426343154244,0.39774696707105717,1.7456672443674177
token_lsml,steps_11_plus,822,0.20802919708029197,0.31630170316301703,4.180048661800487
token_lsml,error_relative_quarter_1,1314,0.2907153729071537,0.4018264840182648,2.7039573820395737
token_lsml,error_relative_quarter_2,1290,0.30930232558139537,0.39689922480620154,1.7178294573643411
token_lsml,error_relative_quarter_3,1122,0.36452762923351156,0.4304812834224599,1.3458110516934045
token_lsml,error_relative_quarter_4,716,0.39385474860335196,0.44972067039106145,1.8575418994413408
token_equal,steps_2_to_5,1312,0.3986280487804878,0.510670731707317,0.9474085365853658
token_equal,steps_6_to_10,2308,0.29462738301559793,0.4168110918544194,1.8847487001733103
token_equal,steps_11_plus,822,0.17761557177615572,0.33454987834549876,4.326034063260341
token_equal,error_relative_quarter_1,1314,0.20624048706240486,0.4018264840182648,3.1948249619482496
token_equal,error_relative_quarter_2,1290,0.27984496124031005,0.4294573643410853,1.8116279069767443
token_equal,error_relative_quarter_3,1122,0.3761140819964349,0.4376114081996435,1.2361853832442067
token_equal,error_relative_quarter_4,716,0.41201117318435754,0.4664804469273743,1.7136871508379887
mindgap_previous_unadjusted,steps_2_to_5,1312,0.3132621951219512,0.3208841463414634,1.1128048780487805
